agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
DSNY,Sanitation Worker or Vehicle Complaint,Idling or Blocking Traffic,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",130
DOT,Bus Stop Shelter Complaint,Lighting,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",127
DOT,Street Light Condition,Flood Light Lamp Out,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",127
NYPD,Animal-Abuse,In Car,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",127
HPD,PLUMBING,BOILER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",126
DCWP,Consumer Complaint,Third-Party Food Delivery Service,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",125
TLC,For Hire Vehicle Report,Car Service Company Report,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",124
DOB,Investigations and Discipline (IAD),Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",124
DOHMH,Pet Shop,Dogs or Cats Sold,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",122
DEP,Water Quality,"Taste/Odor, Sewer (QA5)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",122
DOHMH,Food Establishment,Food Preparation Location,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",120
NYPD,Noise - Commercial,Loud Television,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",120
DOHMH,Unsanitary Pigeon Condition,Pigeon Odor,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",120
DSNY,Residential Disposal Complaint,Refrigerator or Freezer Door Attached,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",120
DOT,Sidewalk Condition,Metal Protruding - Sign Stump,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",120
DOT,Street Sign - Dangling,Speed Limit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",119
TLC,For Hire Vehicle Complaint,Driver Report - Non Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",117
DEP,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",117
DSNY,Snow or Ice,Pedestrian Feature,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",116
DEP,Hazardous Materials,"Oil Spill On Street, Small (HQS)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",115
DCWP,Consumer Complaint,Debt Collection Agency,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",112
DEP,Water Quality,"Taste/Odor, Chlorine (QA1)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",112
DCWP,Consumer Complaint,Home Appliance Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",107
TLC,For Hire Vehicle Report,Driver Report - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",107
DOB,BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",105
DEP,Air Quality,"Air: Odor, Nail Salon (AD8)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",105
DOT,Bus Stop Shelter Complaint,Damaged Other,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",104
DCWP,Consumer Complaint,Shipping Company,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",103
DOHMH,Food Establishment,Permit/License/Certificate,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",102
DOHMH,Illegal Animal Kept as Pet,Other,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",102
HPD,PLUMBING,SEWER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",102
DOHMH,Standing Water,Container - Over 5 Gallons,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",102
NYPD,Posting Advertisement,Building,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",102
DOT,Street Light Condition,Lamppost Base Door/Cover Damaged,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",100
DOT,Bike Rack,Damaged/Bent/Loose/Leaning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",100
DCWP,Consumer Complaint,Residential Rental Agency,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",99
DOB,General Construction/Plumbing,Landmark Bldg - Illegal Work,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",98
TLC,Taxi Compliment,Driver Compliment,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",97
DOHMH,Food Establishment,Handwashing,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",97
DOT,Traffic Signal Condition,In Post Base,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",97
DOHMH,Day Care,Summer Camp,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",97
DOT,Highway Condition,High Grass,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",96
DOHMH,Beach/Pool/Sauna Complaint,Facility Maintenance,Parks & Community,Park Maintenance,"{""category"": ""Parks & Community"", ""subcategory"": ""Park Maintenance""}",96
DCWP,Consumer Complaint,Gas Station Convenience Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",95
DOT,Ferry Complaint,General Complaint,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",95
DOT,Traffic Signal Condition,Ped Lens,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",94
DEP,Sewer,RAIN GARDEN STRUCTURE (GIRGS),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",94
DOT,Sidewalk Condition,Sidewalk Staircase,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",93
DEP,Water Quality,Cloudy Or Milky Water (QB1),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",91
DOT,Street Sign - Damaged,Construction,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",91
DOT,Traffic Signal Condition,Blank Out Matrix Sgn,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",90
DOT,Street Light Condition,Multiple St Lts Dayburning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",90
DCWP,Consumer Complaint,Electronics or Appliance Repair,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",90
DCWP,Consumer Complaint,Funeral Home,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",90
DOHMH,Standing Water,Puddle on Sidewalk,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",87
DEP,Water Quality,"No Sampling Required, Requested Information (QG2)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",87
HPD,OUTSIDE BUILDING,GUTTER/LEADER,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",87
DOHMH,Standing Water,Sewer or Drain,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",84
DOB,General Construction/Plumbing,Structural Stability Impacted - New Building Under Construction,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",84
DEP,Hazardous Materials,"Unsafe Chemical, Storage (HC1)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",84
DOHMH,Food Establishment,Food Worker Activity,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",84
DOT,Highway Condition,Painted Line/Marking,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",83
DCWP,Consumer Complaint,Tour Guide,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",83
DOB,Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",83
DOHMH,Tattooing,Tattoo Artist Unlicensed,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",83
DCWP,Consumer Complaint,Used Goods Dealer,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",82
DOHMH,Beach/Pool/Sauna Complaint,Beach/Pool Water,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",81
DOT,Broken Parking Meter,Timer Defect - Fast/Fail,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",81
DOT,Street Condition,Plate Condition - Open,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",81
DOT,Highway Condition,Crash Cushion Defect,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",80
DEP,Hazardous Materials,"Unsafe Chemical, Abandoned (HC2)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",79
DOHMH,Indoor Air Quality,Unsafe Mold Cleanup,Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",79
TLC,For Hire Vehicle Complaint,Equipment Complaint,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",79
DEP,Industrial Waste,Odor In Sewer/Catch Basin (ICB),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",79
DOHMH,Food Establishment,Dishwashing/Utensils,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",78
DOHMH,Tattooing,Dirty/Inadequate Eqp/Facility,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",78
DOT,Street Sign - Damaged,Do Not Enter,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",78
DOHMH,Illegal Animal Sold,Turtle Under 4 inches Long,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",78
DCWP,Consumer Complaint,Online or Mail Order,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",76
DOHMH,Animal Facility - No Permit,N/A,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",76
DOT,Sidewalk Condition,Cellar Door Open/Unprotected,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",74
DCWP,Consumer Complaint,Tax Preparation Services,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",74
DOT,Street Condition,Unsafe Worksite,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",74
NYPD,Noise - House of Worship,Banging/Pounding,Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",74
TLC,Lost Property,Jewelry,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",72
DOT,Sidewalk Condition,Cellar Door Defective,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",72
DOHMH,Harboring Bees/Wasps,Beekeeping - Honeybees,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",72
DOT,Traffic Signal Condition,Warning Signal Lamp,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",71
DOB,Special Projects Inspection Team (SPIT),Sign - In Danger Of Falling,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",71
DEP,Air Quality,"Air: Odor, Sweet From Unknown Source (AZ1)",Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",71
DOT,Highway Condition,Highway Fence,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",70
DPR,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",70
DEP,Industrial Waste,Chemical Spill (IAC),Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",69
DEP,Water System,installation of hydrant side post (WHFP),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",68
DEP,Water Quality,"Cloudy Or Milky, Other (Use Comments) (QBZ)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",68
DEP,Water Conservation,Rooftank Leak Or Overflow (CKO),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",67
DOHMH,Standing Water,Puddle on Roof,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",67
DOT,Sidewalk Condition,Blocked - ATM,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",65
DCWP,Consumer Complaint,Jewelry Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",64
DOHMH,Illegal Animal Kept as Pet,Farm Animal,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",64
DOT,Sidewalk Condition,Canopy Complaint,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",63
DOT,Highway Condition,Unsafe Worksite,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",63
DOT,Street Condition,Hummock,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",62
DSNY,Recycling Basket Complaint,Overflowing,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",62
DCWP,Consumer Complaint,Ticket Seller,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",60
DEP,Sewer,Highway Flooding (SH),Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",59
DOT,Highway Condition,Loose Plate,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",58
DOB,AHV Inspection Unit,After Hours Work - With An AHV Permit,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",58
DOT,Street Sign - Dangling,Do Not Enter,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",57
DCWP,Consumer Complaint,Hardware Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",57
DCWP,Consumer Complaint,General Vendor,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",57
DOT,Street Light Condition,Foreign Attachment On Lamppost,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",57
DOHMH,Pet Shop,Dogs or Cats Not Sold,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",55
DOHMH,Illegal Animal Sold,Other,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",54
DCWP,Consumer Complaint,Pawnbroker,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",54
DOT,Traffic Signal Condition,Temporary,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",52
DCWP,Consumer Complaint,Construction Labor Provider,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",52
DCWP,Consumer Complaint,Travel Agency,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",52
DOT,Street Sign - Missing,Do Not Enter,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",52
DOT,Bridge Condition,"Dirt, Debris, Litter Complaint",Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",52
DCWP,Consumer Complaint,Newsstand,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",51
DOE,School Maintenance,Plumbing Problem,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",50
DOT,Traffic Signal Condition,Foundation,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",50
TLC,Lost Property,Book/Stationery,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",49
OTI,LinkNYC,Graffiti/Dirty Condition,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",49
DOT,Traffic Signal Condition,Enclosure Cap,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",49
OTI,LinkNYC,Damaged/Defective,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",49
DOT,Bridge Condition,Rough Pavement,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",48
DOT,Bus Stop Shelter Complaint,Sign Missing or Defective,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",48
DCWP,Consumer Complaint,Booting Company,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",48
DEP,Water Conservation,Illegal Use Of Hose - Other (CCO),Environmental Health & Sanitation,Water Quality & Leaks,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Water Quality & Leaks""}",48
DCWP,Consumer Complaint,"Gift, Novelty, or Souvenir Store",Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",48
DOT,Traffic Signal Condition,On Messenger,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",48
HPD,OUTSIDE BUILDING,SKYLIGHT,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",48
DOT,Traffic Signal Condition,Push Button,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",48
DOHMH,Food Establishment,Facility Construction,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",48
DOT,Traffic Signal Condition,Conduit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",48
DOT,Street Sign - Damaged,Speed Limit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",47
DOT,Street Light Condition,Bracket Arm Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",46
DOT,Traffic Signal Condition,Veh Signal Sec Door,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",46
DOT,Street Condition,Plate Condition - Anti-Skid,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",46
DOT,Highway Sign - Damaged,Other/Unknown,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",46
DOT,Highway Sign - Damaged,Exit/Route,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",46
DOHMH,Standing Water,Building Foundation,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",45
DPR,Violation of Park Rules,Unauthorized Posting of Signs,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",45
DOT,Traffic Signal Condition,Mast Arm,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",45
DSNY,Lot Condition,Appliances,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",43
DOT,Street Light Condition,Glassware Hanging,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",43
DOHMH,Mold,Loft Building,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",43
DOB,Special Natural Area District (SNAD),Illegal Tree Removal/Topo. Change in SNAD,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",42
DOT,Street Condition,Depression Maintenance,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",42
DOHMH,Food Establishment,Allergy Information,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",41
